url_length,dot_count,hyphen_count,subdomain_count,has_ip,domain_length,special_char_count,digit_count,digit_ratio,has_https,parameter_count,slash_count,shannon_entropy,relative_entropy,nan_entropy,status
60,3,6,1,0,22,13,0,0.0,0,0,1,4.13183237120822,0.26048505157054014,1.7758589482446405,0
22,2,0,1,0,13,6,0,0.0,1,0,1,3.447401504705915,0.13756099601524105,1.4591479170272446,0
26,1,0,0,0,17,6,3,0.11538461538461539,1,0,1,4.056020968057882,0.11390403338443071,1.4591479170272448,0
75,2,2,1,0,19,14,12,0.16,1,0,7,4.577758024374166,0.28022297075340613,1.483831706844689,0
70,5,2,3,0,45,12,17,0.24285714285714285,1,0,2,4.593200339297388,0.2647806558301835,1.784159127851422,1
73,3,1,0,0,15,13,0,0.0,0,2,3,4.419515662753737,0.2809240553873552,2.4416298737872246,1
45,3,0,1,0,16,8,8,0.17777777777777778,0,0,2,4.324534762707879,0.19902719334913416,1.4056390622295665,0
54,1,3,0,0,17,9,0,0.0,0,0,2,4.180154864392036,0.34340709166497757,1.7527152789797045,0
70,2,3,0,0,21,11,0,0.0,1,0,3,4.3590915455416095,0.341348172599482,1.789929075309999,1
58,4,2,2,0,17,14,5,0.08620689655172414,0,0,5,4.579001521551985,0.27897947357558706,1.689391746743088,0
79,2,6,1,0,23,16,4,0.05063291139240506,1,0,5,4.446575218617089,0.36077970344051613,1.6774212838293645,0
28,2,0,1,0,20,6,2,0.07142857142857142,0,0,1,4.110577243331642,0.13735027011194328,1.4591479170272446,1
80,4,9,2,0,35,17,3,0.0375,0,0,1,4.312125989868464,0.33173019990625985,1.6589797521242053,0
64,2,0,0,0,12,9,0,0.0,0,0,4,4.366479102437745,0.3339606157033471,1.224394445405986,0
36,2,0,1,0,20,7,0,0.0,1,0,2,4.009523959475164,0.16040104196714838,1.3787834934861753,0
43,2,0,1,0,22,8,0,0.0,1,0,3,4.0718733370851785,0.1760541763584061,1.2987949406953985,1
59,2,2,1,0,33,9,2,0.03389830508474576,0,0,2,4.210961854733185,0.3126001013238276,1.836591668108979,1
53,2,0,0,0,20,9,3,0.05660377358490566,0,0,4,4.236683427399852,0.3482790733213041,1.224394445405986,1
35,3,0,1,0,9,8,0,0.0,0,0,2,3.957295873840568,0.2906316396030155,1.4056390622295665,0
29,2,0,1,0,20,6,0,0.0,1,0,1,3.732836495710653,0.2671635042893481,1.4591479170272446,0
48,3,0,1,0,19,8,0,0.0,1,0,2,4.0144608760283615,0.15546412541395113,1.4056390622295665,0
