url_length,dot_count,hyphen_count,subdomain_count,has_ip,domain_length,special_char_count,digit_count,digit_ratio,has_https,parameter_count,slash_count,shannon_entropy,relative_entropy,nan_entropy,status
29,2,1,1,0,21,7,0,0.0,0,0,1,3.857306856898129,0.23015598435221113,1.8423709931771084,0
39,3,0,1,0,17,8,0,0.0,0,0,2,3.957852539097701,0.21207246234461152,1.4056390622295665,1
159,2,0,0,0,14,16,43,0.27044025157232704,0,3,6,4.9174108444706,0.3679913743916455,2.25,1
48,3,1,1,0,15,10,0,0.0,1,0,3,4.236440501696145,0.2229911169411526,1.6854752972273344,1
69,3,1,1,0,11,14,0,0.0,0,0,6,4.383977812434821,0.2598783773399027,1.753434386188785,0
53,3,2,1,0,20,9,0,0.0,1,0,1,4.033761021698655,0.28816707318870755,1.8910611120726528,0
100,2,7,1,0,38,14,0,0.0,0,0,2,4.216622160287628,0.30693979576938507,1.689391746743088,1
35,2,0,1,0,20,6,0,0.0,0,0,1,3.9328743603470446,0.2370506410952666,1.4591479170272446,0
29,1,1,0,0,16,7,0,0.0,0,0,2,4.0472990984266435,0.20062841501694226,1.6644977792004614,1
112,12,0,8,0,71,18,18,0.16071428571428573,0,0,3,4.559107436252553,0.3477831593559653,1.134969974603941,1
50,3,2,1,0,14,10,0,0.0,0,0,2,4.121076880026371,0.12685063341721334,1.8464393446710154,0
68,3,0,1,0,19,12,0,0.0,1,3,1,4.451310179982967,0.24912953815812583,2.6258145836939115,0
47,2,0,1,0,16,8,0,0.0,1,0,2,4.309284064167407,0.2142778918896054,1.75,0
52,2,0,1,0,17,9,0,0.0,0,0,4,4.065140440455372,0.25678765443198914,1.224394445405986,0
35,2,0,1,0,26,6,0,0.0,1,0,1,4.093149802473811,0.2287782924135501,1.4591479170272446,0
48,1,0,0,0,13,12,0,0.0,0,0,6,3.839661719245795,0.4082657941977904,1.4182958340544896,1
33,1,0,0,0,15,6,0,0.0,1,0,2,4.27137063437885,0.1880609842584478,1.2516291673878228,1
17,1,0,0,0,10,4,0,0.0,0,0,0,3.734521664779752,0.07283325727785303,1.5,0
71,2,4,1,0,28,14,8,0.11267605633802817,1,0,5,4.522987177443167,0.28436774461443654,1.6893917467430875,0
43,3,2,2,0,17,9,0,0.0,0,0,1,4.623257196260683,0.18409772579692094,1.8910611120726528,0
48,2,0,1,0,28,8,0,0.0,0,0,3,4.145512835516972,0.2468045872617884,1.2987949406953985,1
82,2,0,1,0,16,13,5,0.06097560975609756,1,2,4,5.175919651086608,0.25034510361549067,2.199687794731328,1
192,15,10,1,0,11,37,106,0.5520833333333334,1,0,2,4.563780101231268,0.4806140181271843,1.9804229781315277,1
51,2,0,1,0,28,8,0,0.0,0,0,3,3.949399793325864,0.22052520811644852,1.2987949406953985,1
83,2,6,1,0,24,14,4,0.04819277108433735,0,0,3,4.348604757422481,0.35183496071861176,1.7273966735744792,0
67,3,1,1,0,20,12,1,0.014925373134328358,1,1,4,4.334547870034715,0.1890140860222975,1.896240625180289,1
32,2,0,1,0,20,7,1,0.03125,0,0,2,4.077819531114783,0.1701079823288023,1.3787834934861753,1
64,4,1,1,0,18,14,9,0.140625,1,1,3,4.7867384298164914,0.2576556895419626,2.406666316740689,0
69,5,3,3,0,38,14,0,0.0,0,0,2,4.067799819814767,0.4557621362422454,2.0670314951575843,1
27,2,0,1,0,14,6,0,0.0,1,0,1,3.606015279620733,0.20133964243687152,1.4591479170272446,0
30,2,1,1,0,21,7,0,0.0,1,0,1,4.0980685120588385,0.14985900138474723,1.8423709931771084,1
120,3,9,1,0,13,23,12,0.1,0,0,8,4.59887197972321,0.30801861588530993,1.632105718491017,0
96,3,0,1,0,14,14,27,0.28125,0,0,7,4.726017287781372,0.3183768315770817,1.4299111709758698,1
71,2,1,1,0,20,11,3,0.04225352112676056,0,0,5,4.257201749228001,0.3277607514931557,1.4911148500551858,0
19,2,0,1,0,12,5,0,0.0,0,0,0,3.9321380397593733,0.06786196024062491,1.5219280948873621,0
83,2,1,1,0,47,10,0,0.0,0,0,4,4.23889214283912,0.2846698132178928,1.5709505944546687,1
48,2,4,1,0,15,10,0,0.0,0,0,1,4.082067386399956,0.16586012704362985,1.8464393446710154,0
51,3,2,1,0,10,13,0,0.0,1,0,5,4.4287798132416825,0.271659904899412,1.669180336866731,1
91,3,7,1,0,13,15,6,0.06593406593406594,1,0,2,4.511478674014652,0.1889610441264405,1.746465798504072,0
81,3,0,0,0,14,13,0,0.0,0,2,4,4.396991794185412,0.3034479239556781,2.1416195253341384,1
61,2,4,1,0,16,10,6,0.09836065573770492,1,0,1,4.477799788659759,0.22263992948133166,1.8464393446710154,0
32,2,1,1,0,24,7,0,0.0,0,0,1,4.093139062229566,0.15478845121401905,1.8423709931771084,0
65,3,4,1,0,14,11,5,0.07692307692307693,0,0,1,4.524548637085513,0.2828062849720919,1.8676338909712122,0
29,2,0,1,0,20,6,0,0.0,1,0,1,4.21126073643228,0.1106673584550821,1.4591479170272446,0
19,1,0,0,0,12,4,0,0.0,0,0,0,3.43162356584743,0.1533389348737253,1.5,0
50,3,0,1,0,31,7,0,0.0,0,0,1,4.0279764393852995,0.2939516555020619,1.4488156357251847,1
20,1,0,0,0,11,5,0,0.0,1,0,1,3.608694969562842,0.19865995249476226,1.3709505944546687,0
91,2,0,0,0,12,16,9,0.0989010989010989,1,0,6,4.58035127257673,0.3265393230317895,1.6493974703476995,0
