url_length,dot_count,hyphen_count,subdomain_count,has_ip,domain_length,special_char_count,digit_count,digit_ratio,has_https,parameter_count,slash_count,shannon_entropy,relative_entropy,nan_entropy,status
228,2,1,0,0,12,20,88,0.38596491228070173,0,1,5,4.8185309155009906,0.4668713033612579,2.639353872167201,1
210,2,1,0,0,11,18,88,0.41904761904761906,0,4,3,4.706859326797341,0.46306567464496945,2.9274512249645186,1
36,2,0,1,0,27,6,0,0.0,1,0,1,4.107017709595357,0.14090980384822885,1.4591479170272446,0
129,3,3,1,0,25,14,0,0.0,0,0,5,4.7126915273002155,0.2873084726997835,1.7244078178625923,0
74,4,0,0,0,20,12,1,0.013513513513513514,0,0,5,4.236084704826945,0.22334691381035227,1.280672129520887,1
49,3,0,1,0,13,10,0,0.0,1,2,1,4.494427130042125,0.20601258809896736,2.3709505944546687,1
78,2,6,1,0,18,14,5,0.0641025641025641,0,0,3,4.545366649466203,0.20952085269726525,1.7273966735744792,0
43,3,0,1,0,15,9,5,0.11627906976744186,0,0,3,4.246519267418364,0.2770426886386488,1.3516441151533924,0
28,2,0,1,0,21,5,0,0.0,0,0,0,3.7534343861887853,0.15345620941973348,1.5219280948873621,0
58,2,0,1,0,16,10,0,0.0,1,0,2,4.420324478140431,0.22353171163429322,1.8464393446710154,0
25,2,1,1,0,17,7,0,0.0,0,0,1,3.563074189428569,0.13736552871252242,1.8423709931771084,0
52,3,1,1,0,23,8,0,0.0,0,0,1,4.322579324069082,0.20098263198793156,1.811278124459133,1
33,2,0,1,0,24,6,0,0.0,1,0,1,3.98319563424773,0.18672936719458255,1.4591479170272446,0
26,2,0,1,0,17,6,0,0.0,1,0,1,3.9500637564362093,0.1373990848141295,1.4591479170272446,0
275,15,1,1,0,25,50,62,0.22545454545454546,0,7,4,4.993859065221182,0.3636929393969014,2.560629463561949,1
22,1,0,0,0,6,5,2,0.09090909090909091,0,0,1,3.9362600275315254,0.151202813718812,1.3709505944546687,1
84,3,0,1,0,19,14,8,0.09523809523809523,0,0,3,4.844540417203228,0.19985370215522702,2.1559681021459083,0
39,2,0,1,0,20,7,0,0.0,1,0,2,3.9233659245349726,0.2465590769073398,1.3787834934861753,0
23,2,0,1,0,15,6,0,0.0,0,0,1,3.849223912390625,0.1507760876093755,1.4591479170272446,0
70,3,1,1,0,15,12,0,0.0,0,0,3,4.6363759674589975,0.2705146281495219,2.054585169337799,0
28,2,0,1,0,19,6,0,0.0,1,0,1,3.842370993177109,0.15762900682289127,1.4591479170272446,0
27,2,0,1,0,16,7,0,0.0,0,0,2,3.5137847242254345,0.18665499391565815,1.3787834934861753,0
22,2,0,1,0,13,6,0,0.0,1,0,1,3.788754913993503,0.11813568161501545,1.4591479170272446,0
55,3,0,1,0,17,10,6,0.10909090909090909,0,0,2,4.178833068298884,0.2805985503384127,1.8464393446710154,0
81,2,0,1,0,27,8,18,0.2222222222222222,0,0,3,4.764258534455221,0.28013558490323137,1.2987949406953985,1
60,2,2,1,0,18,9,0,0.0,0,0,2,4.105972054803331,0.2863453679754294,1.836591668108979,0
197,2,0,0,0,14,15,72,0.36548223350253806,0,4,3,4.5603348573092894,0.48405926204916416,2.5492553971685,1
25,2,0,1,0,17,6,0,0.0,0,0,1,3.7532696895151076,0.15362090609341,1.4591479170272446,0
